,latin_maxim,translation,description
295,cor ad cor loquitur,heart speaks to heart,"From Augustine's Confessions, referring to a prescribed method of prayer: having a ""heart to heart"" with God. Commonly used in reference to a later quote by John Henry Cardinal Newman. A motto of Newman Clubs."
296,cor aut mors,Heart or Death,"(Your choice is between) The Heart (Moral Values, Duty, Loyalty) or Death (to stop exist, to no longer matter, to no longer be respected as person of integrity.)"
297,cor meum tibi offero domine prompte et sincere,my heart I offer to you Lord promptly and sin,motto of Calvin College
298,cor unum,one heart,A popular school motto. Often used as names for religious and other organisations such as the Pontifical Council Cor Unum.
299,coram Deo,in the Presence of God,"A phrase from Christian theology which summarizes the idea of Christians living in the Presence of, under the authority of, and to the honor and glory of God."
300,coram populo,in the presence of the people,"Thus, openly."
301,"coram nobis, coram vobis","in our presence, in your presence",Two kinds of writs of error.
302,Corpus Christi,Body of Christ,"The name of a feast in the Roman Catholic Church commemorating the Eucharist. It is also the name of a city in Texas, Corpus Christi, Texas, and a controversial play."
303,corpus delicti,body of the offence,"The fact that a crime has been committed, a necessary factor in convicting someone of having committed that crime; if there was no crime, there can not have been a criminal."
304,Corpus Iuris Canonici,Body of Canon Law,The official compilation of canon law in the Roman Catholic Church (cf. Codex Iuris Canonici).
305,Corpus Iuris Civilis,Body of Civil Law,The body of Roman or civil law.
306,corpus vile,worthless body,A person or thing fit only to be the object of an experiment.
307,corrigenda,things to be corrected,
308,corruptio optimi pessima,the corruption of the best is the worst,
309,corruptus in extremis,corrupt to the extreme,Motto of the fictional Springfield Mayor Office in The Simpsons TV-Show
310,Corruptissima re publica plurimae leges,When the republic is at its most corrupt the ,Tacitus
311,"Cras amet qui nunquam amavit; quique amavit, cras amet",May he love tomorrow who has never loved befo,"It's the refrain from the 'Pervigilium Veneris', a poem which describes a three day holiday in the cult of Venus, located somewhere in Sicily, involving the whole town in religious festivities joined with a deep sense of nature and Venus as the ""procreatrix"", the life-giving force behind the natural world."
312,Credo in Unum Deum,I Believe in One God,The first words of the The Nicene Creed and the Apostles' Creed.
313,credo quia absurdum est,I believe it because it is absurd,"A very common misquote of Tertullian's et mortuus est Dei Filius prorsus credibile quia ineptum est (and the Son of God is dead: in short, it is credible because it is unfitting), meaning that it is so absurd to say that God's son has died that it would have to be a matter of belief, rather than reason. The misquoted phrase, however, is commonly used to mock the dogmatic beliefs of the religious (see fideism). This phrase is commonly shortened to credo quia absurdum, and is also sometimes rendered credo quia impossibile est (I believe it because it is impossible)or, as Darwin used it in his autobiography, credo quia incredibile."
314,crescamus in Illo per omina,May we grow in Him through all things,Motto of Cheverus High School.
315,crescat scientia vita excolatur,"let knowledge grow, let life be enriched",Motto of the University of Chicago.
316,crescit eundo,it grows as it goes,"State motto of New Mexico, adopted in 1887 as the territory's motto, and kept in 1912 when New Mexico received statehood. Originally from Lucretius' De rerum natura book VI, where it refers in context to the motion of a thunderbolt across the sky, which acquires power and momentum as it goes."
317,cruci dum spiro fido,"while I live, I trust in the cross, Whilst I ",Motto of the Sisters of Loreto (IBVM) and its associated schools.
318,cucullus non facit monachum,The hood does not make the monk,"William Shakespeare, Twelfth Night, Scene I, Act V 48?50"
319,cui bono,Good for whom?,"""Who benefits?"" An adage in criminal investigation which suggests that considering who would benefit from an unwelcome event is likely to reveal who is responsible for that event (cf. cui prodest). Also the motto of the Crime Syndicate of America, a fictional supervillain group. The opposite is cui malo (Bad for whom?)."
320,cui prodest,for whom it advances,"Short for cui prodest scelus is fecit (for whom the crime advances, he has done it) in Seneca's Medea. Thus, the murderer is often the one who gains by the murder (cf. cui bono)."
321,cuius est solum eius est usque ad coelum et ad inferos,"Whose the land is, all the way to the sky and","First coined by Accursius of Bologna in the 13th century. A Roman legal principle of property law that is no longer observed in most situations today. Less literally, ""For whosoever owns the soil, it is theirs up to the sky and down to the depths."""
322,"cuius regio, eius religio","whose region, his religion",The privilege of a ruler to choose the religion of his subjects. A regional prince's ability to choose his people's religion was established at the Peace of Augsburg in 1555.
323,"Cuiusvis hominis est errare, nullius nisi insipientis in errore perseverare.","Anyone can err, but only the fool persists in","? Marcus Tullius Cicero, Philippica XII, ii, 5."
324,culpa,fault,"Also ""blame"" or ""guilt"". In law, an act of neglect. In general, guilt, sin, or a fault. See also mea culpa."
325,cum gladiis et fustibus,with swords and clubs,From the Bible. Occurs in Matthew 26:47 and Luke 22:52.
326,cum gladio et sale,with sword and salt,Motto of a well-paid soldier. See salary.
327,cum grano salis,with a grain of salt,Not to be taken too seriously or as the literal truth.
328,,,
329,,,"Yes, the brochure made it sound great, but such claims should be taken cum grano salis."
330,cum hoc ergo prompter hoc,"with this, therefore on account of this","""Correlation does not imply causation."""
331,cum laude,with praise,The standard formula for academic Latin honors in the United States. Greater honors include magna cum laude and summa cum laude.
332,cum mortuis in lingua mortua,with the dead in a dead language,Movement from Pictures at an Exhibition by Modest Mussorgsky
333,cura personalis,care for the whole person,
334,cura te ipsum,take care of your own self,"An exhortation to physicians, or experts in general, to deal with their own problems before addressing those of others."
335,cur Deus Homo,Why the God/Man,"The question attributed to Anselm in his work of by this name, wherein he reflects on why the Christ of Christianity must be both fully Divine and fully Human. Often translated ""why did God become Man?"""
336,curriculum vitae,course of life,"A r?sum?.,"
337,custos morum,keeper of morals,A censor.
338,cygnis insignis,distinguished by its swans,Motto of Western Australia.
339,cygnus inter anates,swan among ducks,
340,"Da mihi factum, dabo tibi ius","Give me the fact(s), I'll give you the law","also: Da mihi facta, dabo tibi ius; legal principle based on Roman law; parties should present the facts of a case while the judge rules on the law. Related to iura novit curia (the court knows the law)."
341,damnatio memoriae,damnation of memory,A Roman custom in which disgraced Romans (particularly former Emperors) were pretended to have never existed.
342,damnum absque injuria,damage without injury,"A loss that results from no one's wrongdoing. In Roman law, a man is not responsible for unintended, consequential injury to another resulting from a lawful act. This protection does not necessarily apply to unintended damage by negligence or folly."
343,data venia,"with due respect"" or ""given the excuse",Used before disagreeing with someone.
344,dat deus incrementum,God grants the increase,"Motto of Westminster School, a leading British independent school."
345,de bonis asportatis,carrying goods away,"Trespass de bonis asportatis was the traditional name for larceny, or wrongful taking of chattels."
346,Decus Et Tutamen,An ornament and a safeguard,"Inscription on one pound coins. Originally on 17th century coins, it refers to the inscribed edge as a protection against the clipping of precious metal. The phrase originally comes from Virgil's Aeneid."
347,descensus in cuniculi cavum,The descent into the cave of the rabbit,Down the Rabbit Hole (see: Alice's Adventures in Wonderland#Famous lines and expressions.
348,de dato,of the date,"Used in the context of ""As we agreed in the meeting d.d.26th Mai 2006."
349,de facto,in fact,"Said of something that is the actual state of affairs, in contrast to something's legal or official standing, which is described as de jure. De facto refers to the ""way things really are"" rather than what is ""officially"" presented as the fact."
350,,,
351,,,"Although the emperor held the title and trappings of head of state, the Shogun was the de facto ruler of Japan."
352,de fideli,with faithfulness,"A clerk makes the declaration De fideli on when appointed, promising to do his or her tasks faithfully as a servant of the court."
353,de futuro,regarding the future,"Usually used in the context of ""at a future time"""
354,de gustibus non est disputandum,there is not to be discussion regarding taste,"Less literally ""In matters of taste there is no dispute"" or simply ""There's no arguing taste"". Likely of Scholastic origin (see Wiktionary). "
355,,,
356,,,"A related expression in English is ""There's no accounting for taste""."
357,,,
358,,,"Bartlett's Familiar Quotations, without attribution, renders the phrase as de gustibus non disputandum; the verb ""to be"" is often assumed in Latin, and is rarely required."
359,,,
360,,,"An alternative form is de gustibus et coloribus non est disputandum ? ""There's no arguing about tastes and colors."""
361,de integro,"again, a second time",
362,de jure,by law,"""Official"", in contrast with de facto. Analogous to ""in principle"", whereas de facto is to ""in practice"". In other contexts, can mean ""according to law"", ""by right"" or ""legally"". Also commonly written de iure, the classical form."
363,de lege ferenda,from law to be passed,
364,de lege lata,"from law passed"" or ""by law in force",
365,de minimis non curat lex,The law does not bother with the smallest thi,"The court does not want to bother with small, trivial things. A case must have importance for the court to hear it. See ""de minimis not curat praetor""."
366,de minimis non curat praetor,The commander does not bother with the smalle,"Also ""The chief magistrate does not concern himself with trifles."" Trivial matters are no concern of a high official (cf. aquila non capit muscas, the eagle does not catch flies). Sometimes rex (the king) or lex (the law) is used in place of praetor, and de minimis is a legal term referring to things unworthy of the law's attention."
367,de mortuis aut bene aut nihil,"about the dead, either well or nothing","Less literally, ""speak well of the dead or not at all"" (cf. de mortuis nil nisi bonum)."
368,de mortuis nil nisi bonum,"about the dead, nothing unless a good thing","From de mortuis nil nisi bonum dicendum est, ""nothing must be said about the dead except the good"", attributed by Diogenes Laertius to Chilon. In legal contexts, this quotation is used with the opposite meaning, as defaming a deceased person is not a crime. In other contexts, it refers to taboos against criticizing the recently deceased."
369,de nobis fabula narratur,about us is the story told,"Thus, ""their story is our story"". Originally referred to the end of Rome's dominance. Now often used when comparing any current situation to a past story or historical event."
370,de novo,from the new,"""Anew"" or ""afresh"". In law, a trial de novo is a retrial. In biology, de novo means newly-synthesized, and a de novo mutation is a mutation that neither parent possessed or transmitted. In economics, de novo refers to newly-founded companies, and de novo banks are state banks that have been in operation for five years or less."
371,de omnibus dubitandum,"be suspicious of everything, doubt everything","Karl Marx's favorite motto. He used this to explain his standpoint: ""Critique everything in a capitalist economy""."
372,de omni re scibili et quibusdam aliis,"about every knowable thing, and even certain ","A 15th-century Italian scholar wrote the De omni re scibili portion, and a wag added et quibusdam aliis."
373,De Oppresso Liber,Free From Having Been Oppressed,"Commonly mistranslated as ""To Liberate the Oppressed"". The motto of the United States Army Special Forces."
374,de profundis,from the depths,Out of the depths of misery or dejection. From the Latin translation of Psalm 130.
375,de re,about the matter,"In logic, de dicto statements (about the truth of a proposition) are distinguished from de re statements (about the properties of a thing itself)."
376,Dei Gratia Regina,"By the Grace of God, Queen","Also Dei Gratia Rex (By the Grace of God, King). Abbreviated as D G REG preceding Fidei Defensor (F D) on British pounds, and as D G Regina on Canadian coins."
377,Dei sub numine viget,under God's Spirit she flourishes,Motto of Princeton University.
378,delectatio morosa,peevish delight,"In Catholic theology, a pleasure taken in sinful thought or imagination, such as brooding on sexual images. It is distinct from actual sexual desire, and involves voluntary and complacent erotic fantasizing, without any attempt to suppress such thoughts."
379,deliriant isti Romani,"They are mad, those Romans!","A translation into Latin from Ren? Goscinny's ""ils sont fous, ces romains!"", frequently issued by Obelix in the Asterix comics."
380,Deo ac veritati,God and Truth,Motto of Colgate University.
381,Deo domuique,for God and for home,"Motto of Methodist Ladies' College, Melbourne."
382,Deo et Patriae,for God and Country,Motto of Regis High School.
383,Deo gratias,thanks [be] to God,The semi-Hispanicized form Deogracias is a Philippine first name.
384,Deo Optimo Maximo (DOM),To the Best and Greatest God,Derived from the Pagan Iupiter Optimo Maximo (To the best and greatest Jupiter). Printed on bottles of B?n?dictine liqueur.
385,Deo vindice,with God as protector,"Motto of the Confederate States of America. An alternate translation is ""With an avenging God""."
386,Deo volente,with God willing,"This was often used in conjunction with a signature at the end of letters. It was used in order to signify that ""God willing"" this letter will get to you safely, ""God willing"" the contents of this letter come true."
387,deus caritas est,God is Love,The first encyclical of Pope Benedict XVI.
388,deus ex machina,a god from a machine,"From the Greek ??? ??????? ???? (Ap? m?chan?s The?s). A contrived or artificial solution, usually to a literary plot. Refers to the practice in Greek drama of lowering by machine an actor playing a god or goddess, typically either Athena or (as in Euripides) the Dioscuri onto the stage to resolve an insuperable conflict in the plot."
389,Deus vult,God wills it!,The principal slogan of the Crusades.
390,deus otiosus,God at leisure,
391,Dicto simpliciter,"[From] a maxim, simply","I.e. ""From a rule without exception."" Short for A dicto simpliciter, the a often being dropped by confusion with the indefinite article. A dicto simpliciter occurs when an acceptable exception is ignored or eliminated. For instance, the appropriateness of using opiates is dependent on the presence of extreme pain. To justify the recreational use of opiates by referring to a cancer patient or to justify arresting said cancer patient by comparing him to the recreational user would be a dicto simpliciter."
392,dictum meum pactum,my word [is] my bond,Motto of the London Stock Exchange
393,diem perdidi,I have lost the day,From the Roman Emperor Titus. Passed down in Suetonius's biography of him in Lives of the Twelve Caesars (8)
394,Diem Ex Dei,Day of God,
395,Dies Irae,Day of Wrath,"Refers to the Judgment Day in Christian eschatology. The name of a famous 13th-century Medieval Latin hymn by Tommaso da Celano, used in the Mass for the dead."
396,Dies non juridicum,Day without judiciary,Days under common law (traditionally Sunday) in which no legal process can be served and any judgment is void. This concept was first codified by the English Parliament in the reign of Charles II.
397,differentia specifica,specific differences,
398,dirigo,I direct,"In Classical Latin, ""I arrange"". State motto of Maine. Based on a comparison of the state of Maine to the star Polaris."
399,dis aliter visum,it seemed otherwise to the gods,"In other words, the gods have different plans than mortals, and so events do not always play out as people wish them to."
400,dis manibus sacrum (D.M.S.),Sacred to the ghost-gods,"Refers to the Manes, Roman spirits of the dead. Loosely ""To the memory of"". A conventional inscription preceding the name of the deceased on pagan grave markings, often shortened to dis manibus (D.M.), ""for the ghost-gods"". Preceded in some earlier monuments by hic situs est (H. S. E.), ""he lies here""."
401,Disce aut Discede,Learn or Depart,"Motto of Royal College, Colombo."
402,disce quasi semper victurus vive quasi cras moriturus,Learn as if always going to live; live as if ,Attributed to St Edmund of Abingdon.
403,discipuli nostri bardissimi sunt,Our students are the stupidest,
404,disjecta membra,scattered limbs,"That is, ""scattered remains"". Paraphrased from Horace, Satires, I, 4, 62, where it was written ""disiecti membra poetae"" (limbs of a scattered poet). Also written as disiecta membra."
405,ditat Deus,God enriches,"State motto of Arizona, adopted in 1911. Probably derived from the Vulgate's translation of Genesis 14:23."
406,divide et impera,divide and rule,"A Roman maxim adopted by Julius Caesar, Louis XI and Machiavelli. Commonly rendered ""divide and conquer""."
407,dixi,I have spoken,"A popular eloquent expression, usually used in the end of a speech. The implied meaning is: ""I have said all that I had to say and thus the argument is settled""."
408,"[""..."", ...] dixit","[""..."", ...] said","Used to attribute a statement or opinion to its author, rather than the speaker."
409,do ut des,I give that you may give,"Often said or written for sacrifices, when one ""gives"" and expects something back from the gods."
410,Docendo discitur,It is learned by teaching,"Also translated ""One learns by teaching."" Attributed to Seneca the Younger."
411,"Docendo disco, scribendo cogito","I learn by teaching, think by writing.",
412,dolus specialis,special intent,"""The ... concept is particular to a few civil law systems and cannot sweepingly be equated with the notions of ?special? or ?specific intent? in common law systems. Of course, the same might equally be said of the concept of ?specific intent,? a notion used in the common law almost exclusively within the context of the defense of voluntary intoxication.""?Genocide scholar William Schabas3"
413,Domine dirige nos,Lord guide us,Motto of the City of London.
414,Dominus Illuminatio Mea,the Lord is my light,Motto of the University of Oxford.
415,Dominus vobiscum,Lord be with you,"Phrase used during and at the end of Catholic sermons, and a general greeting form among and towards members of Catholic organizations, such as priests and nuns. See also pax vobiscum."
416,dona nobis pacem,give us peace,"Often set to music, either by itself or as part of the Agnus Dei prayer of the Mass (see above). Also an ending in the video game Haunting Ground."
417,donatio mortis causa,giving in expectation of death,A legal concept where a person in imminent mortal danger need not meet the requisite consideration to create or modify a will.
418,draco dormiens nunquam titillandus,a sleeping dragon is never to be tickled,"Motto of the fictional Hogwarts school in the Harry Potter series; translated more loosely in the books as ""never tickle a sleeping dragon""."
419,dramatis personae,the parts of the play,"More literally, ""the masks of the drama""; more figuratively, ""cast of characters"". The characters represented in a dramatic work."
420,Duae tabulae rasae in quibus nihil scriptum est,Two blank slates with nothing written upon th,"Stan Laurel, inscription for the fanclub logo Sons of the Desert."
421,"Ducunt volentem fata, nolentem trahunt",The fates lead the willing and drag the unwil,Attributed to Lucius Annaeus Seneca.
422,Ductus exemplo,Leadership by Example,"This is the motto for the United States Marine Corps' Officer Candidates School located at Marine Corps Base Quantico; Quantico, Virginia."
423,dulce bellum inexpertis,war is sweet to the inexperienced,"War may seem pleasant to those who have never been involved in it, though the more experienced know better. A phrase from Erasmus in the 16th century."
424,dulce et decorum est pro patria mori,It is sweet and honorable to die for the fath,"From Horace, Odes III, 2, 13. Used by Wilfred Owen for the title of a poem about World War I, Dulce et Decorum Est."
425,dulce et utile,a sweet and useful thing,"Horace wrote in his Ars Poetica that poetry must be dulce et utile (pleasant and profitable), both enjoyable and instructive."
426,dulce periculum,danger is sweet,"Horace, Odes III, 25, 16. Motto of the Scottish clan Clan MacAulay."
427,Dulcius ex asperis,sweeter after difficulties,Motto of the Scottish clan Clan Fergusson.4
428,dum spiro spero,"while I breathe, I hope",State motto of South Carolina. From Cicero.
429,dum Roma deliberat Saguntum perit,"while Rome debates, Saguntum is in danger","Used when someone has been asked for urgent help, but responds with no immediate action. Similar to Hannibal ante portas, but referring to a less personal danger."
430,dum vivimus servimus,"While we live, we serve",motto of Presbyterian College.
431,dura lex sed lex,"the law [is] harsh, but [it is] the law",
432,dura mater,tough mother,Outer covering of the brain.
433,"dum vita est, spes est","while there is life, there is hope",
434,dux bellorum,War leader,
435,e pluribus unum,"'From many, (comes) One.'","Usually translated 'Out of many, (is) One.' Motto of the United States of America. Inscribed on the Capitol and many coins used in the United States of America. Also used as the motto of S.L. Benfica."
436,Ecce Homo,'Behold the Man',"From the Latin Vulgate Gospel according to St. John (XIX.v) (19.5, Douay-Rheims), where Pilate speaks these words as he presents Christ, crowned with thorns, to the crowd. It is also the title of Nietzsche's autobiography and of the theme music by Howard Goodall for the BBC comedy Mr. Bean. Oscar Wilde opened his defense with this phrase when on trial for pederasty."
437,editio princeps,'first edition',The first printed edition of a work.
438,e.g.,'for the sake of example',"Abbreviation for exempli gratia, below. "
439,,,
440,,,Often confused with id est (i.e.)[1]. e.g. is used to introduce one or more examples.
441,Ego non,'not I',
442,ego te absolvo,'I absolve you',Part of the absolution-formula spoken by a priest as part of the sacrament of Penance (cf. absolvo).
443,ego te provoco,'I dare you',
444,emeritus,'veteran',"Also 'worn-out'. Retired from office. Often used to denote a position held at the point of retirement, as an honor, such as professor emeritus or provost emeritus. This does not necessarily mean that the honoree is no longer active."
445,ens causa sui,'existing because of oneself',"Or 'being one's own cause'. Traditionally, a being that owes its existence to no other being, hence God or a Supreme Being (cf. Primum Mobile)."
446,ense petit placidam sub libertate quietem,'by the sword she seeks gentle peace under li,"State motto of Massachusetts, adopted in 1775."
447,entitas ipsa involvit aptitudinem ad extorquendum certum assensum,'reality involves a power to compel sure asse,A phrase used in modern Western philosophy on the nature of truth.
448,eo ipso,'by that very act',"Technical term used in philosophy and the law. It means 'by that very act'; similar to ipso facto. Example: ""The fact that I am does not eo ipso mean that I think."" From Latin eo ipso, ablative form of id ipsum, ""that (thing) itself""."
449,equo ne credite,'do not trust the horse',"Virgil, Aeneid, II. 48-49 (Latin)"
450,eo nomine,'by that name',
451,ergo,'therefore',Denotes a logical conclusion (cf. cogito ergo sum).
452,erga omnes,'in relation to everyone',
453,errare humanum est,'to err is human',"From Seneca the Younger. The full quote is errare humanum est, sed perseverare diabolicum: 'to err is human, but to persist is diabolical.'"
454,erratum,'error',"Or 'mistake'. Lists of errors in a previous edition of a work are often marked with the plural, errata ('errors')."
455,esse est percipi,'to be is to be perceived',George Berkeley's motto for his idealist philosophical position that nothing exists independently of its perception by a mind except minds themselves.
456,esse quam videri,"'to be, rather than to seem'","Truly being something, rather than merely seeming to be something. State motto of North Carolina and academic motto of several schools, including North Carolina State University, Berklee College of Music, and Columbia College Chicago as well as Connell's Point Public School and Cranbrook High School in Sydney, Australia. From chapter 26 of Cicero's De amicitia ('On Friendship'). Earlier than Cicero, the phrase had been used by Sallust in his Bellum Catilinae (54.6), where he wrote that Cato esse quam videri bonus malebat ('he preferred to be good, rather than to seem so'). Earlier still, Aeschylus used a similar phrase in Seven Against Thebes, line 592, ou gar dokein aristos, all' enai thelei ('his resolve is not to seem the best, but in fact to be the best')."
457,esto perpetua,'may it be perpetual',"Said of Venice by the Venetian historian Fra Paolo Sarpi shortly before his death. Also the state motto of Idaho, adopted in 1867, and of S. Thomas' College, Sri Lanka."
458,et alibi (et al.),'and elsewhere',A less common variant on et cetera used at the end of a list of locations to denote unlisted places.
459,et alii (et al.),'and others',"Used similarly to et cetera ('and the rest'), to stand for a list of names. Alii is actually masculine, so it can be used for men, or groups of men and women; the feminine, et aliae (or et ali?), is appropriate when the 'others' are all female. Et alia is neuter plural and thus properly used only for inanimate, genderless objects, but some use it as a gender-neutral alternative.5 APA style uses et al. if the work cited was written by more than six authors; MLA style uses et al. for more than three authors."
460,et cetera (etc.) or (&c.),'And the rest',"In modern usages, also used to mean 'and so on' or 'and more'."
461,et facta est lux,And light was made,"From Genesis 1:3 ""and there was light""."
462,et hoc genus omne,'And all that sort of thing',Abbreviated to e.h.g.o. or ehgo
463,etiam si omnes... ego non,also if all ones... not I,
464,et in Arcadia ego,'and in Arcadia [am] I',"In other words, 'I, too, am in Arcadia'. See memento mori."
465,et nunc reges intelligite erudimini qui judicati terram,"'And now, O ye kings, understand: receive ins","From the Book of Psalms, II.x. (Vulgate), 2.10 (Douay-Rheims)."
466,et si omnes... ego non,even if all ones... not I,
467,et sequentes (et seq.),'and the following',"Pluralized as et sequentia ('and the following things'), abbreviations: et seqq., et seq.., or sqq."
468,et suppositio nil ponit in esse,'a supposition puts nothing in being',"More typically translated as either (a) ""Sayin' it don't make it so"", or (b) ""Hypothetically..."""
469,"et tu, Brute?","'And you, Brutus?'","Also 'Even you, Brutus?' or 'You too, Brutus?' Used to indicate a betrayal by someone close. From Shakespeare's Julius Caesar, based on the traditional dying words of Julius Caesar. However, these were almost certainly not Caesar's true last words; Plutarch quotes Caesar as saying, in Greek (which was the language of Rome's elite at the time), ??? ?? ??????; (Ka? s? t?knon?), in English 'You as well, (my) child?', quoting from Menander. Some have speculated based on this that Brutus was Caesar's child, though there is no substantial evidence of this."
470,et uxor (et ux.),'and wife',A legal term.
471,ex abundantia enim cordis os loquitur,'For out of the abundance of the heart the mo,"From the Gospel according to St. Matthew, XII.xxxiv (Vulgate), 12.34 (Douay-Rheims) and the Gospel according to St. Luke, VI.xlv (Vulgate), 6.45 (Douay-Rheims). Sometimes rendered without enim ('for')."
472,ex abundanti cautela,'from abundant caution',
473,ex aequo,'from the equal',"'On equal footing', i.e., 'in a tie'."
474,ex animo,'from the heart',"Thus, 'sincerely'."
475,ex ante,'from before',"'Beforehand', 'before the event'. Based on prior assumptions. A forecast."
476,Ex Astris Scientia,"'From the Stars, Knowledge'","The motto of the fictional Starfleet Academy on Star Trek. Adapted from ex luna scientia, which in turn was modeled after ex scientia tridens."
477,ex cathedra,'from the chair',"A phrase applied to the declarations or promulgations of the Pope when, in communion with the college of cardinals, preserved from the possibility of error by the action of the Holy Ghost (see Papal Infallibility), he solemnly declares or promulgates (""from the chair"" that was the ancient symbol of the teacher and of the governor, in this case of the church) a dogmatic teaching on faith or morals as being contained in divine revelation, or at least being intimately connected to divine revelation. Used, by extension, of anyone who is perceived as speaking as though with supreme authority."
478,ex Deo,'from God',
479,ex dolo malo,'from fraud',"'From harmful deceit'; dolus malus is the Latin legal term for 'fraud'. The full legal phrase is ex dolo malo non oritur actio ('an action does not arise from fraud'). When an action has its origin in fraud or deceit, it cannot be supported; thus, a court of law will not assist a man who bases his course of action on an immoral or illegal act."
480,ex facie,'from the face',Idiomatically rendered 'on the face of it'. A legal term typically used to note that a document's explicit terms are defective without further investigation.
481,ex fide fiducia,'from faith [comes] confidence',"A motto of St George's College, Harare."
482,ex gratia,'from kindness',"More literally 'from grace'. Refers to someone voluntarily performing an act purely out of kindness, as opposed to for personal gain or from being forced to do it. In law, an ex gratia payment is one made without recognizing any liability or legal obligation."
483,ex hypothesi,'from the hypothesis',"Thus, 'by hypothesis'."
484,ex lege,'from the law',
485,ex libris,'from the books',"Precedes a person's name, with the meaning of 'from the library of...'"
486,ex luna scientia,"'from the moon, knowledge'","The motto of the Apollo 13 moon mission, derived from ex scientia tridens."
487,ex malo bonum,'good out of evil',"From St. Augustine's ""Sermon LXI"" where he contradicts Seneca's dictum in Epistulae 87:22: bonum ex malo non fit (good does not come from evil). Also: the alias of the Anberlin song, ""Miserabile Visu"" from their album New Surrender."
488,ex mea sententia,'in my opinion',
489,ex nihilo nihil fit,'nothing may come from nothing',"From Lucretius, and said earlier by Empedocles. Its original meaning is 'work is required to succeed', but its modern meaning is a more general 'everything has its origins in something' (cf. causality). It is commonly applied to the conservation laws in philosophy and modern science. Ex nihilo often used in conjunction with the term creation, as in creatio ex nihilo, meaning 'creation, out of nothing'. It is often used in philosophy or theology in connection with the proposition that God created the universe from nothing. It is also mentioned in the final ad-lib of the Monty Python song Always Look on the Bright Side of Life."
490,ex oblivione,'from oblivion',The title of a short story by H.P. Lovecraft.
491,ex officio,'from the office',"By virtue of office or position; 'by right of office'. Often used when someone holds one position by virtue of holding another. A common misconception is that ex officio members of a committee or congress may not vote, but this is not guaranteed by that title."
492,ex opere operantis,'from the work of the one working',"A theological phrase contrasted with ex opere operato, referring to the notion that the validity or promised benefit of a sacrament depends on the person administering it."
493,ex opere operato,'from the work worked',"A theological phrase meaning that the act of receiving a sacrament actually confers the promised benefit, such as a baptism actually and literally cleansing one's sins. The Catholic Church affirms that the source of grace is God, not just the actions or disposition of the minister or the recipient of the sacrament."
494,ex oriente lux,"'from the East, the light'","Originally refers to the sun rising in the east, but alludes to culture coming from the Eastern world."
495,,,
496,,,Motto of Viadrina European University and others.
497,ex parte,'from a part',"A legal term meaning 'by one party' or 'for one party'. Thus, on behalf of one side or party only."
498,ex pede Herculem,'from Hercules' foot',"From the measure of Hercules' foot you shall know his size; from a part, the whole."
499,ex post,'from after',"'Afterward', 'after the event'. Based on knowledge of the past. Measure of past performance."
500,ex post facto,'from a thing done afterward',Said of a law with retroactive effect.
501,ex professo,'with due competence',Said of the person who perfectly knows his art or science.
502,ex scientia tridens,"'from knowledge, sea power.'",The United States Naval Academy motto. Refers to knowledge bringing men power over the sea comparable to that of the trident-bearing Greek god Poseidon.
503,ex scientia vera,"'from knowledge, truth.'",The motto of the College of Graduate Studies at Middle Tennessee State University.
504,ex silentio,'from silence',"In general, the claim that the absence of something demonstrates the proof of a proposition. An argumentum ex silentio ('argument from silence') is an argument based on the assumption that someone's silence on a matter suggests ('proves' when a logical fallacy) that person's ignorance of the matter or their inability to counterargue validly."
505,ex tempore,'from time',"'This instant', 'right away' or 'immediately'. Also written extempore."
506,ex vi termini,'from the force of the term',"Thus, 'by definition'."
507,ex vivo,'out of or from life',Used in reference to the study or assay of living tissue in an artificial environment outside the living organism.
508,ex voto,'from the vow',"Thus, in accordance with a promise. An ex voto is also an offering made in fulfillment of a vow."
509,excelsior,'higher','Ever upward!' The state motto of New York. Also a catch phrase used by Marvel Comics head Stan Lee.
510,exceptio firmat regulam in casibus non exceptis,'The exception confirms the rule in cases whi,"A juridical motto which means that exception, as for example during a 'state of exception', does not put in danger the legitimacy of the rule in its globality. In other words, the exception is strictly limited to a particular sphere. See also exceptio strictissimi juris est and exceptio probat regulam in casibus non exceptis."
511,exceptio probat regulam in casibus non exceptis,'The exception confirms the rule in cases whi,"A juridical motto often mistranslated as ""the exception that proves the rule"". See also firmat regulam in casibus non exceptis."
512,excusatio non petita accusatio manifesta,'an excuse that has not been sought is an obv,"More loosely, 'he who excuses himself, accuses himself'?an unprovoked excuse is a sign of guilt. In French, qui s'excuse, s'accuse."
513,exeat,'may he leave',A formal leave of absence (cf. exit).
514,exempli gratia (e.g.),'for the sake of example',Usually shortened in English to 'for example' (see citation signal). Often confused with id est (i.e.).6
515,,,"Exempli gratia,'for example', is commonly abbreviated 'e.g.'; in this usage it is sometimes followed by a comma, depending on style.7"
516,exercitus sine duce corpus est sine spiritu,'an army without leader is like a body withou,On a plaque at the former military staff building of the Swedish Armed Forces.
517,exeunt,'they leave',"The plural of exit. Also extended to exeunt omnes, 'everyone leaves'."
518,experientia docet,'experience teaches',This term has been used in dermatopathology to express that there is no substitute for experience in dealing with all the numerous variations that may occur with skin conditions.8 The term has also been used in gastroenterology.9
519,experimentum crucis,'crucial experiment',Literally 'experiment of the cross'. A decisive test of a scientific theory.
